"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","1","NCP1117LPST33T3GOSCT-ND","NCP1117LPST33T3G","IC REG LINEAR 3.3V 1A SOT-223","","1","0","0.37000","0.37"
"2","4","445-2525-1-ND","PS1240P02BT","BUZZER PIEZO 3V 12.2MM TH","","4","0","0.57000","2.28"
"3","1","2073-USB4105-GF-A-120CT-ND","USB4105-GF-A-120","CONN RCP USB2.0 TYP C 16P SMD RA","","1","0","0.78000","0.78"
"4","2","CKN10285CT-ND","KMR241NG ULC LFS","SWITCH TACTILE SPST-NO 0.05A 32V","","2","0","0.67000","1.34"
"5","10","587-1300-1-ND","LMK212BJ106KG-T","CAP CER 10UF 10V X5R 0805","","10","0","0.01600","0.16"
"6","10","311-1140-1-ND","CC0805KRX7R9BB104","CAP CER 0.1UF 50V X7R 0805","","10","0","0.05500","0.55"
"7","10","399-C0805C104K5RACTUCT-ND","C0805C104K5RACTU","CAP CER 0.1UF 50V X7R 0805","","10","0","0.01600","0.16"
"8","1","296-50511-1-ND","TVS1400DRVR","UNIDIR  PRECISION SURGE DIODE","","1","0","0.57000","0.57"
"9","12","2057-MTJ-662BX2-ND","MTJ-662BX2","CONN MOD JACK 6P6C R/A UNSHIELD","","12","0","0.24500","2.94"
"10","1","535-13520-1-ND","ABM10-166-12.000MHZ-T3","CRYSTAL 12.0000MHZ 8PF SMD","","1","0","0.45000","0.45"
"11","25","RMCF0402FT10K0CT-ND","RMCF0402FT10K0","RES 10K OHM 1% 1/16W 0402","","25","0","0.00480","0.12"
"12","1","256-W25Q64JVZPIQ-TRAY-ND","W25Q64JVZPIQ","IC FLASH 64MBIT SPI/QUAD 8WSON","","1","0","1.43000","1.43"
"13","10","RMCF0603FT1K00CT-ND","RMCF0603FT1K00","RES 1K OHM 1% 1/10W 0603","","10","0","0.00600","0.06"
"14","10","311-1060-1-ND","CC0603JRNPO9BN150","CAP CER 15PF 50V C0G/NPO 0603","","10","0","0.03300","0.33"
"15","10","311-27.0HRCT-ND","RC0603FR-0727RL","RES 27 OHM 1% 1/10W 0603","","10","0","0.00600","0.06"
"16","6","H3642R-14-ND","GLF-464-144-521-D","CABLE MOD 6P4C PLUG TO CABLE 14'","","6","0","1.73000","10.38"
"17","4","EG2011-ND","PS1024ABLK","SWITCH PUSH SPST-NO 3A 125V","","4","0","1.55000","6.20"
"18","2","2648-SC0914(7)CT-ND","SC0914(7)","IC MCU 32B EXT MEM 56QFN RP2040","","2","0","0.80000","1.60"

